time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,0,0,0,5.21167620752e-28,0,2.54099753442e-18,-6.22964968653e-15,2.43495191542e-17,4.19118620727e-15,-6.11709442457e-18,5.12670770821e-17,6.88318911463e-15,2.0275260025e-15,6.00628381809e-17,6.88318911617e-15,0,0,0,-5.29573341994e-28,4.48415508584e-44,-2.58198136562e-18,-6.36315678199e-15,2.47422533273e-17,4.25472172611e-15,-6.21575723786e-18,5.20939654221e-17,6.9942082939e-15,2.07102077061e-15,6.10315936377e-17,6.99420829547e-15,0,0,0,-6.12783145241e-27,0,-2.98767659647e-17,-2.2341458625e-15,-2.86298949372e-16,1.34681547571e-15,5.31875813295e-16,-6.02792576073e-16,2.48208703008e-15,1.43571955489e-15,-7.06212150212e-16,2.48208703077e-15,0,0,0,-1.2077102236e-27,8.96831017168e-44,-5.88829606366e-18,-1.14104412332e-15,5.6425550507e-17,7.35414804657e-16,-2.28786349432e-18,1.18802054742e-16,1.21545093953e-15,3.69819741408e-16,1.39184618083e-16,1.21545093981e-15
0.01,-0.000654753385315,0.000149418443749,-0.00545134898374,0.00137006955599,0.000164086220553,-0.00545146386085,0.0017067423228,0.000172992682439,-0.00464155378594,0.00213676151471,0.000184705452136,-0.00356489877539,0.0021389045449,0.000190607434195,-0.00283547920982,-0.00131973995771,0.000111736966856,-0.000548999600476,-1.13266063648e-18,3.83622203439e-17,5.16547410697e-15,0.000429894536632,-3.33722738673e-05,5.01512162061e-09,0.0021222096327,0.000184705459737,-0.00355169621928,0.00212015046642,0.000190607475464,-0.00280299505707,-0.00120304834858,0.00011173682643,-0.000540266812749,-3.81964527962e-18,5.5320192383e-17,7.43199314437e-15,0.000394474313218,-3.3372201325e-05,3.97651397428e-09,0.00213654668525,0.000154467813971,-0.00735131766059,0.00213860607442,0.000148565804706,-0.00809793576148,-0.00607965919694,8.96697913147e-05,-0.00260895253499,8.09478430991e-16,-9.20822011494e-16,3.7838438014e-15,0.00198536825712,-2.61629589494e-05,2.15331233202e-07,0.00212199480323,0.000154467821572,-0.00733811510447,0.00211985155008,0.00014856583305,-0.00806961775359,-0.00598968276641,8.96696847342e-05,-0.00260349083627,-2.27627983124e-18,1.00547497163e-16,1.02907042778e-15,0.00195867432416,-2.61629098981e-05,2.10251844896e-07
0.02,-0.000481018412672,0.000239871994647,-0.0124040151715,0.00220307048413,0.000468934777182,-0.0124044966773,0.00264949234973,0.000518886349279,-0.011330941381,0.0032233809562,0.000582578553525,-0.00999813714185,0.00322740547303,0.00059340954849,-0.00904821874862,-0.00639569455338,0.000332980480983,-0.00270037875091,-3.54200779959e-18,4.29867986288e-17,5.80608153111e-15,0.00208754670524,-0.000103068513515,2.986708235e-07,0.0031967246891,0.000582579797779,-0.00979197209685,0.00319305073009,0.000593411342026,-0.00878250626876,-0.00586247508244,0.000332978766117,-0.00259412293664,-2.12304728007e-18,3.77760028337e-17,5.07204009612e-15,0.00191825446724,-0.000103067093113,2.50610219317e-07,0.00322248295177,0.000527086843482,-0.0150173823874,0.00322615813314,0.000516255373803,-0.016023030526,-0.012687279846,0.000292513348649,-0.00542993949238,5.7496478741e-16,-6.5679042917e-16,2.69404614262e-15,0.00414409925982,-8.98597000331e-05,1.85677980672e-06,0.00319582668467,0.000527088087736,-0.0148112173424,0.00319180094525,0.00051625701819,-0.0157649539226,-0.0122035300567,0.000292511940191,-0.00532966464287,1.29914260472e-18,1.4914342292e-16,1.52691963398e-15,0.00399094306148,-8.98585902459e-05,1.74589878727e-06
0.03,0.000233036024411,0.000344126358083,-0.0202798279868,0.0027191459727,0.000900988945898,-0.0202806152795,0.00313277109398,0.00100532928437,-0.0192863031663,0.00366528634289,0.00113729958266,-0.0182069956969,0.00366936515531,0.00114803086893,-0.0173568614243,-0.0137922330248,0.000624087728317,-0.00584672246216,-7.14462448118e-18,5.13492854143e-17,6.83549446105e-15,0.00450537395712,-0.000198349067511,2.27371829334e-06,0.00363903423934,0.00113731228794,-0.0177058043037,0.00363551997621,0.0011480465298,-0.0167410816435,-0.0126419567884,0.000624083995971,-0.00558150297222,3.66468051311e-18,4.56928953783e-17,6.11238938221e-15,0.00413424506703,-0.000198342047662,1.91283869742e-06,0.00366384016727,0.00108231254471,-0.0228560167253,0.00366735658434,0.00107157856189,-0.0238169714499,-0.0195936493601,0.000584044945252,-0.00837468738849,3.33367288306e-16,-3.63825854571e-16,1.48178421236e-15,0.00640295980371,-0.000185313499546,6.62157003239e-06,0.00363758806373,0.00108232524999,-0.022354825332,0.00363350709521,0.0010715937044,-0.0232087303426,-0.0184937074897,0.00058404201198,-0.0081153055491,-3.5992211785e-18,1.18855964671e-16,1.2149983046e-15,0.0060481751242,-0.000185307570234,6.02279260848e-06
0.04,0.00120547732341,0.000485492792915,-0.028583608406,0.00295914495959,0.00142485653521,-0.0285844014364,0.00325098597193,0.00158524911477,-0.0278830680239,0.00362198198895,0.00178696362334,-0.0273677426592,0.00362357314013,0.00179081265862,-0.0268166817029,-0.0225185242262,0.00094825371856,-0.00957657363315,-2.00191078325e-18,5.17640512479e-17,6.95469375039e-15,0.00736113749415,-0.000308202037133,8.5564416943e-06,0.00361293202193,0.00178701644966,-0.0265223049247,0.00361187699471,0.00179087504128,-0.0257931966797,-0.0206370205449,0.0009482572,-0.00911308645602,-9.69052444663e-18,4.82654281655e-17,6.41004403682e-15,0.00674744332277,-0.000308182269615,7.19289517324e-06,0.00362060862439,0.00176721942747,-0.0306470927212,0.00362166512734,0.00176336126228,-0.0313748864054,-0.0265808430588,0.000933980585211,-0.0113611480775,5.97086742926e-16,-6.96026820535e-16,2.86244347684e-15,0.00869190662124,-0.000303642783173,1.6289785936e-05,0.00361155865737,0.00176727225379,-0.0298016549867,0.00360996602324,0.00176342279033,-0.030354039801,-0.0247205459873,0.000933984923199,-0.0108995086697,-2.33435461444e-18,3.20762031339e-16,3.29915188683e-15,0.00808492119577,-0.000303624753693,1.44132946986e-05
0.05,0.00224477084854,0.000672090138459,-0.0369314874199,0.00295419855154,0.00201787809882,-0.0369319896865,0.00307227743411,0.00222940405438,-0.036648302594,0.00320648575282,0.00249393236117,-0.0368744633281,0.0032025737512,0.00248277796592,-0.0367385555515,-0.0318474365264,0.00128239336449,-0.0135920621398,-4.30033887188e-19,4.14994857355e-17,5.4772024472e-15,0.0104189430674,-0.000425887821568,2.24130002064e-05,0.00323462039099,0.00249407701269,-0.0356632652165,0.00323878154833,0.00248294579691,-0.0352813033181,-0.029170113642,0.0012824345889,-0.0129019791087,4.97290605244e-18,3.79910316969e-17,5.06408533771e-15,0.00953731786298,-0.000425847266261,1.88074476963e-05,0.00320584748933,0.00255102015522,-0.0382010908565,0.00320168473099,0.00256215144785,-0.0385870662948,-0.0334632068898,0.00132421597766,-0.0143184169656,6.0807235068e-16,-6.94715633427e-16,2.86730845176e-15,0.0109512818425,-0.000439729214751,3.25057683952e-05,0.0032339821275,0.00255116480674,-0.0369898927449,0.00323789571562,0.00256231911845,-0.0371218102499,-0.0307413496319,0.00132425675495,-0.0136216236774,-2.02278894282e-17,7.68327606527e-17,7.84663568451e-16,0.0100547555138,-0.000439688841817,2.80893560484e-05
0.06,0.00321607117585,0.000906846370032,-0.0450531221827,0.00273667351744,0.00265832178918,-0.0450532335027,0.00265688017304,0.00291415423375,-0.045245004573,0.00251657009605,0.00323233843563,-0.0462896411854,0.0025049280526,0.0032000577747,-0.0466228553897,-0.0412370875437,0.00161788166297,-0.0176723109564,9.21920167047e-18,4.31379776058e-17,5.75607377067e-15,0.0135026287145,-0.000547613594,4.7033342528e-05,0.00259679165876,0.00323264884951,-0.0447133525437,0.00260826308368,0.00320041512781,-0.0447301101579,-0.037743273115,0.00161801973698,-0.016741210413,-4.26660945594e-18,5.12875550304e-17,6.60886134729e-15,0.0123427515999,-0.000547545232273,3.93836596416e-05,0.00251700713232,0.00339760129323,-0.0453931979516,0.00250553005898,0.00342983341433,-0.0453879490036,-0.0401030440175,0.00173867161145,-0.0171948642969,5.40668053057e-16,-6.16537361901e-16,2.53176727604e-15,0.0131362044154,-0.000587333395898,5.66266081925e-05,0.00259722869503,0.0033979117071,-0.0438169093098,0.00260887636766,0.0034301939492,-0.0434722351845,-0.0364706324998,0.00173880667979,-0.0162451189939,-4.50076658086e-18,2.10654827564e-16,2.1641539622e-15,0.0119306010039,-0.000587258481246,4.79576534983e-05
0.07,0.00404527777578,0.00118500024164,-0.0527404307773,0.00234649117993,0.00332814308285,-0.0527403262948,0.00206377411037,0.00361982146814,-0.0534197997812,0.0016358705073,0.00398049016454,-0.055292983979,0.00161456508262,0.00392148327052,-0.0561066717745,-0.0502857766516,0.00194451463299,-0.0216548564886,9.93983564266e-18,5.55661583868e-17,7.28015100946e-15,0.0164818932097,-0.000669841823939,8.49470199295e-05,0.00178164840004,0.00398105878315,-0.0533642100035,0.00180241763014,0.00392213578442,-0.0537906346729,-0.0459829609956,0.00194484280889,-0.0204751029004,-2.58008714262e-17,3.28222544013e-17,4.38312496379e-15,0.0150426921665,-0.000669741966818,7.09603018022e-05,0.00163724401293,0.0042825845135,-0.0521163642238,0.00161646693514,0.00434150177633,-0.051710925924,-0.04637836659,0.00216524187456,-0.0199433735467,6.59441606252e-16,-7.53047313373e-16,3.0970938017e-15,0.0152070831651,-0.000742290637146,8.95900300028e-05,0.00178302190567,0.00428315313211,-0.0501875902484,0.0018043351679,0.00434216571463,-0.0493530062744,-0.0418163745358,0.00216556473872,-0.0187300535141,1.17011254046e-17,6.52027262241e-17,6.79542320228e-16,0.0136827490164,-0.000742168590194,7.45585932272e-05
0.08,0.00468627772514,0.00150348924441,-0.0598607710415,0.00181321632169,0.00401382537013,-0.0598608877945,0.00133520556922,0.00433395446956,-0.0610100761807,0.000625772226293,0.00472749725207,-0.0636767507167,0.000593883325903,0.00463872064835,-0.0649543391884,-0.0587304391414,0.00226284594973,-0.0254316072072,2.6731893223e-18,4.73954938782e-17,6.25235642925e-15,0.0192708561639,-0.000791452802759,0.000137721175137,0.000844161289378,0.00472842881662,-0.0614174774001,0.000875385346907,0.00463978932679,-0.0622371904374,-0.0536484316726,0.00226348727246,-0.0240043113518,2.06840257284e-17,3.70672499434e-17,5.06289128562e-15,0.0175595896098,-0.000791320836454,0.000114751875736,0.000627475301406,0.00518197401798,-0.0583043857531,0.00059624707078,0.00527060003832,-0.0575162167386,-0.0522065422409,0.00259499367831,-0.0225316047256,8.45225100401e-16,-9.5589203882e-16,3.92491044021e-15,0.0171365257381,-0.000900374754839,0.000131881629713,0.000845864364492,0.00518290558252,-0.0560451124366,0.000877757470931,0.00527169555368,-0.054736132203,-0.0467294290186,0.00259563088361,-0.0210543628133,-1.02625214958e-17,1.24886836868e-16,1.34451048071e-15,0.0152958232799,-0.000900192871543,0.000108100214952
0.09,0.00512684556518,0.00185456663152,-0.06631651292,0.00116864373963,0.00470411766799,-0.0663174834453,0.00051036376531,0.0050445224431,-0.0679008188846,-0.000465434835818,0.00546032997816,-0.0713008461854,-0.000508814020178,0.00533855891449,-0.0730090500202,-0.0663959559688,0.0025653880684,-0.0289300140121,-8.22586453308e-18,4.30405066203e-17,5.80212963103e-15,0.0218125378862,-0.000910131271313,0.00020583884192,-0.000166999258937,0.00546173646417,-0.0687361874676,-0.000124037832441,0.00534017458788,-0.0699173806618,-0.0605757676,0.00256649795644,-0.0272577344178,-4.98762552064e-17,5.76204608298e-17,7.59773836518e-15,0.0198399617428,-0.00090997193607,0.000171032118485,-0.00046436463096,0.00608366214922,-0.0638995073164,-0.000507316924582,0.00620519783638,-0.0627615643575,-0.0575197209091,0.00302119601296,-0.0249314200669,1.01275231064e-15,-1.13727284198e-15,4.68264616989e-15,0.0189023904095,-0.00105952464898,0.000183499239606,-0.000165929054079,0.00608506863523,-0.0613348485986,-0.000122558861509,0.00620686568821,-0.0595836339972,-0.0511523706509,0.00302231094072,-0.023191326657,1.94963717911e-17,9.01664469084e-17,9.33832596125e-16,0.0167509348153,-0.00105927199849,0.00014838071644
0.1,0.00536244936048,0.00223127778885,-0.0720606015511,0.000439174425255,0.00538790008239,-0.0720631674806,-0.000379163204963,0.00574261710273,-0.074032724601,-0.00159637018785,0.00617309460177,-0.0780875750111,-0.00165115791581,0.00601775307573,-0.0801817547982,-0.0731808351895,0.00285558413661,-0.03210357608,2.83037694815e-18,5.55365938617e-17,6.99031495404e-15,0.0240729251784,-0.00102561139029,0.00028875201449,-0.00121700399327,0.00617508832003,-0.0752463696463,-0.00116192996531,0.00602004936339,-0.0767460048225,-0.0666757009554,0.00285733476518,-0.0301954246814,-4.26274715254e-17,4.3647188039e-17,5.76861350047e-15,0.0218550016181,-0.00102543151511,0.000239226743959,-0.00159710335764,0.00696817856499,-0.0688818897614,-0.0016521418102,0.00712317265323,-0.0674374254736,-0.0622817037543,0.00343744340549,-0.0271267938964,5.30519565406e-16,-6.14415909742e-16,2.52339764535e-15,0.0204920488792,-0.00121625579254,0.000244017565203,-0.00121773716306,0.00697017228324,-0.0660406843966,-0.00116298465408,0.00712555831515,-0.0638916895651,-0.0550732999506,0.00343922122516,-0.0251329978738,1.08873690149e-17,1.83154303858e-17,1.8285817185e-16,0.0180446111092,-0.00121592181534,0.000194948719762
0.11,0.00541403946437,0.00262759051656,-0.0770588760896,-0.000344247239182,0.0060605634378,-0.0770638039002,-0.00130075750983,0.00642425354776,-0.079367661487,-0.00273188676125,0.00686262295051,-0.0839941085916,-0.00279786301624,0.00667348768403,-0.0864258504543,-0.079033400629,0.00313254709721,-0.0349248843079,1.12232105784e-17,4.41224975056e-17,5.40670966166e-15,0.0260344270513,-0.00113741423516,0.000385020358676,-0.00227155986616,0.00686531395744,-0.0809038992981,-0.00220411446506,0.00667659804006,-0.0826754141443,-0.0718969775233,0.00313512681678,-0.0327902026689,-5.72145191211e-18,5.38245459382e-17,7.06786521454e-15,0.0235874590629,-0.00113722351445,0.000317984786055,-0.00273564963988,0.00783054260918,-0.0732274043595,-0.00280301759985,0.0080191879853,-0.0715230750888,-0.0664586092008,0.00384156781449,-0.0291003112052,7.08657444684e-16,-8.19845395732e-16,3.40852371542e-15,0.0218939688051,-0.00136968015023,0.000312568268269,-0.00227532274478,0.00783323361611,-0.070137195066,-0.00220942319904,0.0080224388057,-0.0676387727243,-0.058460742487,0.00384421488171,-0.0268623920699,-9.9717237898e-18,4.97851600915e-17,4.99948279096e-16,0.019166291,-0.00136925541655,0.000246976291598
