row,col,x,y,z
0,0,3.98,1.98,0
1,0,3.94,1.98,0
2,0,3.9,1.98,0
3,0,3.86,1.98,0
4,0,3.82,1.98,0
5,0,3.78,1.98,0
6,0,3.74,1.98,0
7,0,3.7,1.98,0
8,0,3.66,1.98,0
9,0,3.62,1.98,0
10,0,3.58,1.98,0
11,0,3.54,1.98,0
12,0,3.5,1.98,0
13,0,3.46,1.98,0
14,0,3.42,1.98,0
15,0,3.38,1.98,0
16,0,3.34,1.98,0
17,0,3.3,1.98,0
18,0,3.26,1.98,0
19,0,3.22,1.98,0
20,0,3.18,1.98,0
21,0,3.14,1.98,0
22,0,3.1,1.98,0
23,0,3.06,1.98,0
24,0,3.02,1.98,0
25,0,2.98,1.98,0
26,0,2.94,1.98,0
27,0,2.9,1.98,0
28,0,2.86,1.98,0
29,0,2.82,1.98,0
30,0,2.78,1.98,0
31,0,2.74,1.98,0
32,0,2.7,1.98,0
33,0,2.66,1.98,0
34,0,2.62,1.98,0
35,0,2.58,1.98,0
36,0,2.54,1.98,0
37,0,2.5,1.98,0
38,0,2.46,1.98,0
39,0,2.42,1.98,0
40,0,2.38,1.98,0
41,0,2.34,1.98,0
42,0,2.3,1.98,0
43,0,2.26,1.98,0
44,0,2.22,1.98,0
45,0,2.18,1.98,0
46,0,2.14,1.98,0
47,0,2.1,1.98,0
48,0,2.06,1.98,0
49,0,2.02,1.98,0.370000004768
50,0,1.98,1.98,0.370000004768
51,0,1.94,1.98,0.34999999404
52,0,1.9,1.98,0.34999999404
53,0,1.86,1.98,0.34999999404
54,0,1.82,1.98,0.34999999404
55,0,1.78,1.98,0.34999999404
56,0,1.74,1.98,0.34999999404
57,0,1.7,1.98,0.34999999404
58,0,1.66,1.98,0.34999999404
59,0,1.62,1.98,0.34999999404
60,0,1.58,1.98,0.34999999404
61,0,1.54,1.98,0.34999999404
62,0,1.5,1.98,0.34999999404
63,0,1.46,1.98,0.34999999404
64,0,1.42,1.98,0.34999999404
65,0,1.38,1.98,0.34999999404
66,0,1.34,1.98,0.34999999404
