time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,0,0,0,2.84869944713e-45,0,1.38890786067e-35,-6.04226993996e-15,-1.23929098613e-24,4.05260836612e-15,2.36658271566e-30,3.67341984632e-40,6.66133814775e-15,1.97441250147e-15,4.04959003904e-25,6.66133814924e-15,0,0,0,-2.84869944713e-45,0,-1.38890786067e-35,-6.04226993996e-15,-1.23929098613e-24,4.05260836612e-15,2.36658271566e-30,3.67341984632e-40,6.66133814775e-15,1.97441250147e-15,4.04959003904e-25,6.66133814924e-15,0,0,0,4.74783074141e-46,0,2.31484551642e-36,-1.007044947e-15,-2.06548488871e-25,6.7543469885e-16,-9.86076131526e-32,-4.5917748079e-41,1.11022302463e-15,3.29068741871e-16,6.74931655996e-26,1.11022302487e-15,0,0,0,-4.74783241189e-46,0,-2.31484682274e-36,-1.00704498999e-15,-2.06548497689e-25,6.75434727687e-16,9.86076131526e-32,3.44383110592e-41,1.11022302463e-15,3.29068750246e-16,6.74931673173e-26,1.11022302487e-15
0.01,-0.00170096388415,0.000163454962928,-0.00123775072733,0.000918789608009,0.000141785626645,-0.00123793630045,0.00135439785185,0.000145014704956,-0.000190065746739,0.00190905778682,0.000149628493085,0.00122121383475,0.00191134476947,0.000155862321522,0.00216949519766,0.00309113264713,9.41444740124e-05,0.00135199239731,6.00139030309e-09,2.2540856191e-09,1.06378533425e-07,-0.00101147446384,-2.74422549783e-05,1.70255032743e-07,0.0018936835538,0.000149628513556,0.00120171345404,0.00189153203319,0.0001558623651,0.00216585214779,0.00315525456379,9.41444372543e-05,0.00134457317344,5.32906779834e-09,2.32921871158e-09,1.01928188055e-07,-0.00102956383864,-2.74421392546e-05,1.67678075708e-07,0.00190871078134,0.000117690737518,-0.00367772523519,0.00191086259139,0.000111456891183,-0.00463966408917,-0.00307275921507,7.08361917511e-05,-0.00131362050745,4.96002996147e-08,-2.10143357029e-09,7.13980555796e-08,0.00100273522753,-1.98334795691e-05,1.2951767866e-07,0.00189333654831,0.000117690757989,-0.00369722561589,0.00189104927623,0.000111456924343,-0.00464770683018,-0.00303684135898,7.08361683515e-05,-0.00132449335627,5.2289837707e-08,-2.0635939794e-09,7.77548868876e-08,0.000993863731722,-1.98334241821e-05,1.35125435881e-07
0.02,-0.00269435290182,0.00035823209069,-0.00265943526325,0.00143233151101,0.000354478162404,-0.00266043975555,0.00211879461786,0.000369594272858,-0.001009932961,0.00299848836152,0.000389863124933,0.00119931517652,0.00300396201034,0.000404225912032,0.00268505247517,0.00416029796354,0.000240558726274,0.00183999380845,-1.73272426627e-09,-1.07416847425e-09,-1.33616932222e-08,-0.00136262397426,-7.09654111669e-05,2.59794777755e-07,0.00296306649364,0.000389863193482,0.00119595191793,0.00295832617216,0.000404226273267,0.00272269419039,0.00437442715315,0.000240557617962,0.00184270725101,-5.34299690595e-10,-9.73701101769e-10,-8.82180865287e-09,-0.00142599429392,-7.09647674486e-05,2.84184121144e-07,0.00299660983801,0.000316277685105,-0.00651758479889,0.00300135234448,0.000301914666609,-0.00803926330782,-0.00553659758024,0.00018690840352,-0.00235700117217,1.2915743637e-08,-3.32229156006e-10,1.30673060925e-08,0.00180606687587,-5.34489408425e-05,4.02767218355e-07,0.00296118797013,0.000316277753654,-0.00652094805748,0.00295571213629,0.000301914905266,-0.00801174927491,-0.00538766526383,0.000186907622694,-0.00236227620244,1.29337137151e-08,-2.66974123009e-10,1.33437605037e-08,0.00176398277025,-5.34485527946e-05,3.88893652442e-07
0.03,-0.00319004118585,0.000576517223534,-0.00416936233281,0.00164526499329,0.000616243870265,-0.00417163610118,0.0024500442721,0.000647742411168,-0.00223789169535,0.00348862988745,0.000689330945883,0.000330622810293,0.0034975225349,0.000712046043136,0.00205948103967,0.00381347004236,0.000418576366084,0.00172278225406,-1.62572602401e-08,-8.90338547534e-10,-3.99102707672e-08,-0.00125114625826,-0.000124699695125,3.98794192642e-07,0.00343263223747,0.000689331163701,0.000366421973759,0.00342539965815,0.000712047590679,0.0021673366585,0.00423573480197,0.0004185709439,0.0017488434883,-1.46296439264e-08,-8.48952911372e-10,-3.43611937602e-08,-0.00137869411443,-0.000124696929327,4.702029632e-07,0.00348437738347,0.000572951561868,-0.00871139950316,0.00349161641763,0.000550235394838,-0.0105043178539,-0.00752890841584,0.000333823671941,-0.00319245630381,4.6151896086e-09,1.16714210824e-10,-6.34431049454e-09,0.00245548111395,-9.70557546765e-05,1.10876214496e-06,0.00342837973349,0.000572951779686,-0.00867560033969,0.00341948063075,0.000550236422468,-0.0104124557201,-0.00721036790504,0.000333819611651,-0.00317905116372,4.4599464099e-09,1.45353560793e-10,-8.8168955558e-09,0.00236176843386,-9.70539458246e-05,1.0394899365e-06
0.04,-0.0033848086831,0.000811068838954,-0.00569542868416,0.00160123371739,0.000909552517417,-0.00569900740499,0.00243159491606,0.000959487475857,-0.00370518581338,0.00351206547856,0.00102493475941,-0.00108276339591,0.00352421882758,0.00105555819499,0.000683832427275,0.00249149301413,0.000614412512432,0.00118868000975,-1.81044121509e-08,-1.86173191829e-10,-3.14088905386e-08,-0.000820988902038,-0.000184508231915,3.57898059657e-07,0.0034366267184,0.00102493560351,-0.000994038064983,0.0034270861285,0.00105556290344,0.000879174753361,0.00315828554297,0.000614396942464,0.00124709745363,-1.70039560012e-08,-1.90121780807e-10,-2.78662947431e-08,-0.00102482061415,-0.000184499901464,4.9116539989e-07,0.00350537251674,0.000868032190163,-0.0104066607864,0.00351492595091,0.000837405598813,-0.0122691128727,-0.00917680259014,0.00050029108219,-0.00387710850882,2.30425890696e-09,1.72033515458e-10,-1.06025352482e-08,0.00299265320023,-0.00014733005341,2.25933600536e-06,0.00342993375658,0.000868033034259,-0.0103179354555,0.00341776756102,0.000837408889982,-0.0120952946113,-0.00865090120962,0.000500279016366,-0.00383576883656,2.35751088955e-09,1.69896447016e-10,-1.32863817743e-08,0.00283472837739,-0.000147324327194,2.0685429959e-06
0.05,-0.00341950451588,0.001055266876,-0.00718399956189,0.00134318801778,0.00121992299412,-0.00718858595419,0.00213682011204,0.00128804864576,-0.00528427263949,0.00317924003627,0.00137692457101,-0.00281135760267,0.00319405335745,0.0014141060391,-0.00114427160115,0.000536779789325,0.00081546495178,0.000383205703812,-1.32477590557e-08,3.26212613651e-10,-1.59935762565e-08,-0.000183848936791,-0.000246766196349,9.47405607392e-08,0.00308773150252,0.00137692710495,-0.00266302472361,0.00307626606749,0.00141411725547,-0.000853351064158,0.00146722612307,0.000815431321296,0.0004803440425,-1.28798082125e-08,3.01868648762e-10,-1.47742043077e-08,-0.000470855588171,-0.000246747077808,2.75015764479e-07,0.00317066393329,0.00118641097187,-0.0117175869797,0.00318214965401,0.00114922231227,-0.0135142220141,-0.0105741511541,0.000677068948805,-0.00445322016741,1.01093129299e-09,1.41810609033e-10,-9.70016022172e-09,0.00344845854638,-0.000201740100921,3.84703203e-06,0.00307915539954,0.00118641350581,-0.0115692541007,0.00306432178541,0.00114923054634,-0.0132493849129,-0.0098162361583,0.000677042221548,-0.00437681754365,1.24577021553e-09,1.25612820012e-10,-1.16244216209e-08,0.00321759172418,-0.000201726476004,3.44041801537e-06
0.06,-0.0033905986414,0.00130325009478,-0.0085965845769,0.000912079678519,0.00153575249911,-0.0086017094684,0.00162944894333,0.00162014876922,-0.00688149271151,0.00258167239354,0.00172986162918,-0.00468535524513,0.0025982523675,0.00177159364467,-0.00320405319135,-0.00178988674868,0.00101202501895,-0.000583349848428,-7.58676759593e-09,5.17908699387e-10,-4.14777382218e-09,0.000575256567534,-0.000308660658153,-2.65788716365e-07,0.00247907475097,0.001729867507,-0.00447591086005,0.00246623418096,0.00177161600093,-0.0028162695728,-0.000590050501698,0.00101196468034,-0.000443130700573,-7.70136125325e-09,4.9357584757e-10,-4.47888884564e-09,0.000202243768866,-0.000308624174424,-9.83329594662e-08,0.00257209334601,0.00151601429446,-0.012731351746,0.00258496126247,0.00147426843463,-0.0143763915257,-0.0117873762558,0.000856864199936,-0.00495079765054,1.13252724493e-10,8.59991929682e-11,-7.58318461928e-09,0.00384474598997,-0.000258253934921,5.86022864555e-06,0.00246949570344,0.00151602017228,-0.0125219073609,0.00245288836549,0.00147428552124,-0.0140178231365,-0.010783012382,0.000856815185246,-0.00483382825036,4.32023165059e-10,6.80292943249e-11,-8.63287944344e-09,0.00353523858006,-0.000258227126655,5.12062409998e-06
0.07,-0.00336175663156,0.00154992051106,-0.00990484276808,0.000344874933921,0.00184811785462,-0.00991000723413,0.00096316549908,0.00194617028483,-0.00842821763099,0.00179398005131,0.00207325146448,-0.00658055818836,0.00181140846441,0.00211747294487,-0.00533406356551,-0.00429261805827,0.00119848233793,-0.0016282719751,-3.53614990516e-09,4.56590581742e-10,2.23109303875e-09,0.00139242071591,-0.000368394881109,-4.99269056745e-07,0.00168538833072,0.00207326279705,-0.00631194931489,0.00167172499528,0.00211751206176,-0.00485262326342,-0.00282760331094,0.00119838726888,-0.0014426488417,-3.79358725349e-09,4.4216087258e-10,1.25388952904e-09,0.000933781957614,-0.000368333686589,-4.54046513519e-07,0.00178433521123,0.00184662091984,-0.0135119385035,0.00179803139237,0.00180237576372,-0.0149558298824,-0.012860004055,0.00103422868315,-0.00538960279106,-3.99256747944e-10,5.38077571127e-12,-5.61430245767e-09,0.00419574266288,-0.00031511779689,8.28617762027e-06,0.00167574349064,0.00184663225241,-0.01324332963,0.0016582821968,0.0018024066598,-0.0145052801458,-0.0116042018356,0.00103414990225,-0.00522856329241,-9.12935458669e-11,-8.45342639958e-12,-5.98090508559e-09,0.00380495659773,-0.000315071572531,7.08043038086e-06
0.08,-0.00337269524571,0.00179077598003,-0.0110866449592,-0.000326164890377,0.0021505022729,-0.0110914141532,0.000182222909527,0.00226027504085,-0.00987360166339,0.000876624809942,0.00240219084967,-0.00840671808322,0.000894340775909,0.00244776538381,-0.00741761906591,-0.00682590742143,0.00137459522679,-0.00268969351568,-1.3567498935e-09,2.80886510133e-10,4.32540201652e-09,0.00221998998605,-0.000425403676577,-3.51325918792e-07,0.000764835625747,0.00240221008624,-0.00808270702184,0.000750591008972,0.00244782764321,-0.00684787047377,-0.00510683985769,0.00137445803678,-0.00245909059689,-1.5431877882e-09,2.75145807361e-10,3.31826004047e-09,0.00167877641949,-0.000425309919122,-5.82829451896e-07,0.000867732359997,0.0021685891792,-0.0141036981805,0.000882013470389,0.00212297750928,-0.0153226659753,-0.0138160977845,0.00120544411496,-0.00578064931824,-5.90820814339e-10,-8.76030245882e-11,-4.13472039411e-09,0.00450908813325,-0.000370619671794,1.11064428244e-05,0.000755943175802,0.00216860841577,-0.0137796871191,0.000738190655171,0.00212302798672,-0.0147846885164,-0.0123146995612,0.00120532850148,-0.00557531149142,-3.61948722874e-10,-9.56486027386e-11,-4.05979122672e-09,0.00403835291147,-0.000370547155908,9.29581086039e-06
0.09,-0.00344299305429,0.00202232532338,-0.0121347417614,-0.00106940772516,0.00243729530264,-0.0121387937056,-0.000673187972735,0.00255515394067,-0.0111900425635,-0.000120958140728,0.00270712762711,-0.0101079008746,-0.000103907373392,0.00275169028495,-0.00937952112153,-0.00928836764623,0.00153228460591,-0.00372616638277,-5.13165411707e-10,1.09078929051e-10,3.8822625635e-09,0.0030252128558,-0.000477703638575,4.08346884651e-07,-0.000230135992691,0.00270715714683,-0.00973416465837,-0.000244246389776,0.00275178200896,-0.00872987220977,-0.00733173046911,0.00153210187232,-0.00345019878019,-5.71012232437e-10,1.18415187495e-10,3.14780269028e-09,0.00240565270379,-0.000477570271613,-2.88817595229e-07,-0.000128490460774,0.00247866094286,-0.0145464617115,-0.00011434281979,0.00243404387539,-0.015535281012,-0.0146793182244,0.0013669949968,-0.00613475225837,-6.04599506687e-10,-1.01888111795e-10,-2.89484007671e-09,0.00479278745955,-0.000424260588215,1.43079197316e-05,-0.000237668312738,0.00247869046258,-0.0141727254953,-0.000254756419574,0.00243411999498,-0.0149166279894,-0.012937773398,0.00136683835011,-0.00588338606365,-3.7733162241e-10,-1.02385282728e-10,-2.64051442159e-09,0.0042427408492,-0.000424154982349,1.17445834564e-05
