time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,1.06700844745e-20,2.18847215393e-30,-2.18847156162e-30,1.0665226648e-20,2.36847578587e-14,-8.73702883942e-31,1.0674942301e-20,-2.36847578587e-14,-3.50323848236e-30,1.0674942301e-20,-2.36847578587e-14,-3.50323848236e-30,1.0674942301e-20,-2.36847578587e-14,-3.50323848236e-30,1.95297924081e-17,4.00562966108e-27,-4.00562857695e-27,1.95297875503e-17,2.36847578587e-14,-4.0043129081e-27,1.9529797266e-17,-2.36847578587e-14,-4.0069439852e-27,1.9529797266e-17,-2.36847578587e-14,-4.0069439852e-27,1.9529797266e-17,-2.36847578587e-14,-4.0069439852e-27,9.38776641624e-19,1.92546417403e-28,-1.92546365291e-28,9.3877591295e-19,3.5527136788e-15,-1.92349075411e-28,9.38777370298e-19,-3.5527136788e-15,-1.92743554012e-28,9.38777370298e-19,-3.5527136788e-15,-1.92743554012e-28,9.38777370298e-19,-3.5527136788e-15,-1.92743554012e-28,-4.72208073173e-19,-9.68515499077e-29,9.68515236948e-29,-4.72208801847e-19,3.5527136788e-15,9.70487173074e-29,-4.72207344499e-19,-3.5527136788e-15,9.66542868548e-29,-4.72207344499e-19,-3.5527136788e-15,9.66542868548e-29,-4.72207344499e-19,-3.5527136788e-15,9.66542868548e-29
0.01,-0.00050001413602,0.0133135269764,0.000572014063565,-0.00050001413602,0.0133135269764,0.000572014063565,-0.00050001413602,0.0133135269764,0.000572014063565,-0.000272893950235,0.0133135275959,0.00057199775628,-0.000272900610032,0.0157548587668,0.00057199490128,-0.000272851887062,-0.00210588184887,0.000572015788417,-0.000272851887062,-0.00210588184887,0.000572015788417,-0.000272851887062,-0.00210588184887,0.000572015788417,-0.000272892069649,0.0133135275959,0.000571997756145,-0.000272898182935,0.0155545204898,0.000571995135329,-0.000272853598006,-0.000789307610192,0.00057201424925,-0.000272853598006,-0.000789307610192,0.00057201424925,-0.000272853598006,-0.000789307610192,0.00057201424925,-0.000840015081354,0.0133135260489,0.000572038475717,-0.000840091509255,0.0413282757646,0.000571930005477,-0.000839909907346,-0.0252381482091,0.000572187743848,-0.000839909907346,-0.0252381482091,0.000572187743848,-0.000839909907346,-0.0252381482091,0.000572187743848,-0.000840010243092,0.0133135260489,0.000572038475369,-0.000840084061901,0.0403719097801,0.00057193370646,-0.000839910526323,-0.0232377898812,0.000572180000508,-0.000839910526323,-0.0232377898812,0.000572180000508,-0.000839910526323,-0.0232377898812,0.000572180000508
0.02,-0.00151430818181,0.0144055364998,0.00171953115029,-0.00151430818181,0.0144055364998,0.00171953115029,-0.00151430818181,0.0144055364998,0.00171953115029,-0.000648280378961,0.0144055486332,0.00171934456772,-0.000648766693536,0.0491134508599,0.00171914899793,-0.000647745724064,-0.0237523657649,0.00171955957741,-0.000647745724064,-0.0237523657649,0.00171955957741,-0.000647745724064,-0.0237523657649,0.00171955957741,-0.000648253359533,0.0144055486336,0.0017193445619,-0.000648734373212,0.0487351299673,0.00171915112449,-0.000647771324354,-0.019996936362,0.0017195384101,-0.000647771324354,-0.019996936362,0.0017195384101,-0.000647771324354,-0.019996936362,0.0017195384101,-0.00235377646391,0.0144055247385,0.00171971201071,-0.00235466024292,0.0774666934659,0.00171848073392,-0.00235288239576,-0.0493898146546,0.00172095762227,-0.00235288239576,-0.0493898146546,0.00172095762227,-0.00235288239576,-0.0493898146546,0.00172095762227,-0.00235370551442,0.0144055247395,0.00171971199543,-0.00235455219365,0.0748194754953,0.00171853241235,-0.00235289283747,-0.0435822279561,0.00172084420695,-0.00235289283747,-0.0435822279561,0.00172084420695,-0.00235289283747,-0.0435822279561,0.00172084420695
0.03,-0.00196486787433,0.0105079826082,0.00388279782237,-0.00196486787433,0.0105079826082,0.00388279782237,-0.00196486787433,0.0105079826082,0.00388279782237,-0.00045308601743,0.0105080457142,0.00388227953254,-0.000456279545938,0.0870059513795,0.00388142111789,-0.000450410064292,-0.0535918395065,0.00388299882387,-0.000450410064292,-0.0535918395065,0.00388299882387,-0.000450410064292,-0.0535918395065,0.00388299882387,-0.000452921213463,0.010508045721,0.00388227947604,-0.000456175362647,0.0884580618361,0.00388140481765,-0.000450512305514,-0.0471950289869,0.00388292694836,-0.000450512305514,-0.0471950289869,0.00388292694836,-0.000450512305514,-0.0471950289869,0.00388292694836,-0.00430665518712,0.0105078848555,0.00388360066607,-0.00431078241841,0.10933813745,0.00387839950095,-0.00430313585973,-0.0737655639939,0.00388803574654,-0.00430313585973,-0.0737655639939,0.00388803574654,-0.00430313585973,-0.0737655639939,0.00388803574654,-0.00430626801791,0.0105078848717,0.00388360053334,-0.00431024218982,0.105672994664,0.0038785924118,-0.00430320907341,-0.0627412839869,0.00388745531521,-0.00430320907341,-0.0627412839869,0.00388745531521,-0.00430320907341,-0.0627412839869,0.00388745531521
0.04,-0.00179234802895,0.00416601529006,0.00616851514513,-0.00179234802895,0.00416601529006,0.00616851514513,-0.00179234802895,0.00416601529006,0.00616851514513,-0.000186104418359,0.00416616299531,0.0061678445849,-0.000197332761207,0.126262521406,0.00616608331699,-0.00017775823132,-0.0865897978653,0.00616915376039,-0.00017775823132,-0.0865897978653,0.00616915376039,-0.00017775823132,-0.0865897978653,0.00616915376039,-0.000185528628851,0.00416616304826,0.00616784434452,-0.000197115414412,0.130160209028,0.00616602729248,-0.000177985643425,-0.0778558306812,0.00616902724352,-0.000177985643425,-0.0778558306812,0.00616902724352,-0.000177985643425,-0.0778558306812,0.00616902724352,-0.00631436608908,0.00416559945912,0.00617040295685,-0.00632668267983,0.138040038841,0.00615625373233,-0.0063050403906,-0.0971995169439,0.00618111626252,-0.0063050403906,-0.0971995169439,0.00618111626252,-0.0063050403906,-0.0971995169439,0.00618111626252,-0.00631316550152,0.00416559956952,0.00617040245564,-0.00632509389496,0.133820556405,0.00615670023108,-0.00630531818164,-0.0811303730582,0.00617941672397,-0.00630531818164,-0.0811303730582,0.00617941672397,-0.00630531818164,-0.0811303730582,0.00617941672397
0.05,-0.00194534963443,-0.00362532904608,0.00777151674362,-0.00194534963443,-0.00362532904608,0.00777151674362,-0.00194534963443,-0.00362532904608,0.00777151674362,-0.000261228440705,-0.00362505636303,0.00777080834011,-0.000288491115604,0.16474505233,0.00776802245812,-0.000241874586508,-0.123151498536,0.00777278604604,-0.000241874586508,-0.123151498536,0.00777278604604,-0.000241874586508,-0.123151498536,0.00777278604604,-0.000259939126548,-0.00362505615427,0.00777080779778,-0.00028802710579,0.169842011192,0.00776793962494,-0.00024234291218,-0.11229658701,0.00777260461568,-0.00024234291218,-0.11229658701,0.00777260461568,-0.00024234291218,-0.11229658701,0.00777260461568,-0.00799284374833,-0.00362630822095,0.00777406054277,-0.00801980895864,0.162837164405,0.00774453718148,-0.00797376903933,-0.121379600827,0.00779494484217,-0.00797376903933,-0.121379600827,0.00779494484217,-0.00797376903933,-0.121379600827,0.00779494484217,-0.00799027558138,-0.00362630780513,0.00777405946251,-0.00801641342809,0.157729638045,0.00774544601068,-0.007974450981,-0.101315814885,0.00779138286506,-0.007974450981,-0.101315814885,0.00779138286506,-0.007974450981,-0.101315814885,0.00779138286506
0.06,-0.00283686890848,-0.0119057120924,0.00779580492202,-0.00283686890848,-0.0119057120924,0.00779580492202,-0.00283686890848,-0.0119057120924,0.00779580492202,-0.00117913691945,-0.0119053137166,0.00779523649844,-0.00123021100843,0.20061839466,0.00779024482573,-0.0011439599397,-0.158279773518,0.00779867448379,-0.0011439599397,-0.158279773518,0.00779867448379,-0.0011439599397,-0.158279773518,0.00779867448379,-0.0011771868034,-0.0119053132479,0.00779523582976,-0.00122906660687,0.203971051395,0.00779017135979,-0.00114501569756,-0.145772076655,0.00779837635051,-0.00114501569756,-0.145772076655,0.00779837635051,-0.00114501569756,-0.145772076655,0.00779837635051,-0.00895056427806,-0.0119071812977,0.00779790126125,-0.00899746337616,0.183177536123,0.00774671699876,-0.00891917367639,-0.142481689252,0.00783216001805,-0.00891917367639,-0.142481689252,0.00783216001805,-0.00891917367639,-0.142481689252,0.00783216001805,-0.0089465065674,-0.0119071803226,0.00779789986989,-0.00899175818842,0.176324593423,0.00774852438675,-0.00892033174086,-0.120785799819,0.00782646005574,-0.00892033174086,-0.120785799819,0.00782646005574,-0.00892033174086,-0.120785799819,0.00782646005574
0.07,-0.00457896381868,-0.0189831655277,0.00730815716426,-0.00457896381868,-0.0189831655277,0.00730815716426,-0.00457896381868,-0.0189831655277,0.00730815716426,-0.00241936699881,-0.0189824827415,0.0073077516852,-0.00249910534628,0.233217183936,0.00729732415422,-0.00236497599525,-0.191012546119,0.0073148644972,-0.00236497599525,-0.191012546119,0.0073148644972,-0.00236497599525,-0.191012546119,0.0073148644972,-0.00241690449396,-0.018982481963,0.00730775122285,-0.00249671107583,0.233433006732,0.00729732734875,-0.00236706644634,-0.176612276995,0.00731426078035,-0.00236706644634,-0.176612276995,0.00731426078035,-0.00236706644634,-0.176612276995,0.00731426078035,-0.00972346822683,-0.0189847920335,0.00730912308013,-0.00979344945847,0.202313331302,0.00723035362461,-0.00967789759619,-0.163090501549,0.00736041645806,-0.00967789759619,-0.163090501549,0.00736041645806,-0.00967789759619,-0.163090501549,0.00736041645806,-0.0097178239204,-0.0189847902489,0.00730912202037,-0.00978485811757,0.192994087737,0.00723369207669,-0.00967951301312,-0.140133449923,0.00735223120494,-0.00967951301312,-0.140133449923,0.00735223120494,-0.00967951301312,-0.140133449923,0.00735223120494
0.08,-0.00620363393724,-0.0253646857062,0.00709268250868,-0.00620363393724,-0.0253646857062,0.00709268250868,-0.00620363393724,-0.0253646857062,0.00709268250868,-0.00371431403464,-0.025363719361,0.00709276891197,-0.00382620182036,0.26286275695,0.00707201351202,-0.00363782660518,-0.222397757839,0.00710695747758,-0.00363782660518,-0.222397757839,0.00710695747758,-0.00363782660518,-0.222397757839,0.00710695747758,-0.00371123432273,-0.0253637181654,0.00709276901886,-0.00382209628689,0.260220207388,0.00707222605111,-0.00364118315959,-0.205817729672,0.0071057496547,-0.00364118315959,-0.205817729672,0.0071057496547,-0.00364118315959,-0.205817729672,0.0071057496547,-0.0108231696759,-0.0253664789938,0.00709252216647,-0.0109184700418,0.220138767434,0.00697990765223,-0.0107616417926,-0.183869733497,0.00716522842131,-0.0107616417926,-0.183869733497,0.00716522842131,-0.0107616417926,-0.183869733497,0.00716522842131,-0.0108155105641,-0.0253664760205,0.00709252243231,-0.010906202596,0.208267142092,0.00698539362567,-0.0107636221235,-0.159037360518,0.00715381499138,-0.0107636221235,-0.159037360518,0.00715381499138,-0.0107636221235,-0.159037360518,0.00715381499138
0.09,-0.007222554405,-0.0309631390613,0.00748194641775,-0.007222554405,-0.0309631390613,0.00748194641775,-0.007222554405,-0.0309631390613,0.00748194641775,-0.00476937173868,-0.030962008314,0.00748272426837,-0.00491639252678,0.288028164183,0.00744617384001,-0.00466832071348,-0.250211846219,0.0075078462821,-0.00466832071348,-0.250211846219,0.0075078462821,-0.00466832071348,-0.250211846219,0.0075078462821,-0.00476527868918,-0.0309620064274,0.00748272556619,-0.00491034994069,0.283798243098,0.00744669534431,-0.00467290017817,-0.231395123795,0.00750566890068,-0.00467290017817,-0.231395123795,0.00750566890068,-0.00467290017817,-0.231395123795,0.00750566890068,-0.0122872320176,-0.0309654735269,0.00748034051914,-0.0124100085953,0.235506441656,0.00732731725889,-0.0122079968697,-0.202935909633,0.00757909567981,-0.0122079968697,-0.202935909633,0.00757909567981,-0.0122079968697,-0.202935909633,0.00757909567981,-0.012276759581,-0.0309654686998,0.00748034383972,-0.0123931077577,0.221554323412,0.00733539865357,-0.0122101866699,-0.175454004456,0.0075632795872,-0.0122101866699,-0.175454004456,0.0075632795872,-0.0122101866699,-0.175454004456,0.0075632795872
