time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,0,0,0,5.82708771525e-32,0,2.84104690747e-22,-5.9010387359e-15,2.72126889077e-21,3.95788468618e-15,6.22356456051e-16,5.73221391795e-21,6.77433924229e-15,2.75398465986e-15,6.71609043498e-21,6.7743392439e-15,0,0,0,-1.04604333072e-28,0,-5.10007394359e-19,-5.9010387359e-15,4.8872272506e-18,3.95529397549e-15,6.22356456048e-16,1.02898914185e-17,6.77074031413e-15,2.75398465986e-15,1.20553020641e-17,6.77074031574e-15,0,0,0,4.98988737901e-30,3.50324616081e-46,2.43286223672e-20,-8.85155810385e-16,2.33132782724e-19,5.93805973043e-16,9.33534515341e-17,4.90853445819e-19,1.01632211339e-15,4.13097682105e-16,5.75067973303e-19,1.01632211363e-15,0,0,0,2.52326163054e-30,0,1.23023761545e-20,-8.85155810385e-16,-1.17889693631e-19,5.93744944788e-16,9.33534684077e-17,-2.48212290419e-19,1.01623731766e-15,4.13097698979e-16,-2.90797372996e-19,1.0162373179e-15
0.01,-0.000170835601509,0.000178388221691,-0.00627356998935,0.00248937385348,0.000275989604357,-0.00627376104189,0.00293171013954,0.000246352133138,-0.0052097088188,0.00343552879018,0.000205383487671,-0.00383045001733,0.00342069199544,0.000163532812222,-0.0028662086098,-0.000580831244616,3.16935365102e-06,-0.000250181583178,3.69245574199e-16,3.87050494255e-18,6.35748640734e-15,0.000199407195795,-2.33136875096e-05,1.13699479958e-10,0.003538733478,0.00020538395546,-0.0037426227233,0.00355370981986,0.000163533376418,-0.00276491090517,-0.000283198719772,3.17090924868e-06,-0.00012285984466,-7.54241424093e-17,4.68186921012e-18,5.84010797706e-15,8.29158595258e-05,-2.33141431894e-05,-4.25995589012e-10,0.00343517132021,0.000419796290272,-0.00880504265029,0.00342019298128,0.000461646794694,-0.0097975335999,-0.00694600081041,0.000159659082469,-0.00297019909646,4.66935584933e-16,6.26748202601e-20,1.88462676118e-15,0.00227945690643,-7.44599314629e-05,2.85361910522e-07,0.00353837600803,0.00041979675806,-0.00871721535626,0.00355321479987,0.00046164750813,-0.00966667780387,-0.00645962061291,0.000159662038938,-0.00281955318463,2.98938829242e-16,-7.52972571666e-18,1.22231779005e-15,0.00210128191865,-7.44604647052e-05,2.43825027958e-07
0.02,0.00217585613117,0.000446284831366,-0.0145697577176,0.00505165892381,0.000744277368429,-0.0145703800822,0.0055300106162,0.000655974482402,-0.0134201591354,0.00597554936446,0.000533810122397,-0.0120157752405,0.00593097219498,0.00040802662426,-0.0109822073107,-0.00651111094736,-3.45090028244e-05,-0.00281850400566,1.7088700489e-16,1.11640295801e-18,5.56066309012e-15,0.00215661630832,-5.56922222792e-05,2.64287306913e-07,0.00628578688783,0.000533817637916,-0.0117476850575,0.00633081935471,0.000408035570832,-0.0106819116259,-0.00566612190415,-3.44858059043e-05,-0.00244053262312,-5.29719215682e-16,-7.37865579926e-19,5.32077815466e-15,0.00182264650004,-5.5699221279e-05,1.67970924777e-07,0.00597438305426,0.00117823150179,-0.0173935418807,0.00592933581872,0.00130401248743,-0.0185037578954,-0.0135578236896,0.000435706190339,-0.00578035701454,5.09334520953e-16,-1.45977028257e-18,2.64285587049e-15,0.00446010431992,-0.000209438616427,2.23091204743e-06,0.00628462057764,0.00117823901731,-0.0171254516976,0.00632921251519,0.00130402359685,-0.0181145795594,-0.012146735636,0.000435750916009,-0.00533206276366,1.00655972356e-16,9.22396154813e-19,2.78094469842e-15,0.00394102187828,-0.000209446948096,1.78569934424e-06
0.03,0.00504882915704,0.000886951473299,-0.0234650815116,0.00714137338894,0.0012744051792,-0.0234658088621,0.00748955833218,0.00102772241876,-0.0226288965908,0.00757670647727,0.000692491528998,-0.0216837115182,0.00747586658591,0.000408611226075,-0.0209308582241,-0.0146317086722,-0.000347816577259,-0.00639066892699,3.08191925906e-16,1.59203667031e-18,5.75833969214e-15,0.0048474137362,-3.74871980006e-05,2.45843389684e-06,0.00827684847194,0.000692530918799,-0.0213353215403,0.0083782348847,0.000408659307872,-0.0205605935399,-0.0132830663948,-0.000347707638848,-0.00567689668889,-1.06735663991e-16,1.9563741883e-20,7.35455309106e-15,0.00427597708617,-3.75244725189e-05,1.82427821608e-06,0.00757530647988,0.00214686971913,-0.0255968416971,0.00747387443281,0.00243073564107,-0.0264719365376,-0.0201612462123,0.000713336012462,-0.00859814130203,-3.49730846629e-17,2.715672342e-19,1.07792447865e-15,0.00665646124545,-0.000384605978742,7.4562928971e-06,0.00827544847454,0.00214690910894,-0.0252484517192,0.00837633399469,0.00243079510009,-0.0259009524441,-0.0175374054683,0.000713591995764,-0.00772545786636,9.55330077986e-17,-3.65561137858e-19,1.23012469604e-15,0.00566783985905,-0.000384658617752,5.61225621884e-06
0.04,0.00798360102079,0.00149372518708,-0.0324785177677,0.00879815788622,0.00182570428156,-0.0324788724318,0.00893375749372,0.00140008857633,-0.0321530738503,0.00856304881637,0.00082625309172,-0.0318664453993,0.00840694683235,0.000387502156405,-0.0315738795415,-0.0236982892863,-0.000668411442395,-0.0103898780246,-1.97090158359e-16,2.86736206575e-18,4.86017622051e-15,0.00784868723964,-1.51710275508e-05,9.50668000963e-06,0.00964502390145,0.000826365993485,-0.0315681814424,0.00980145351879,0.000387643734337,-0.0312660717999,-0.0219874982157,-0.000668135869075,-0.00939634504461,4.32511958092e-16,-1.07825793829e-18,5.47765261243e-15,0.00708714824238,-1.52740547962e-05,7.48770231921e-06,0.00856220952007,0.00307402689068,-0.0333898294196,0.0084057056808,0.00351273250747,-0.0338472184619,-0.0265405678465,0.000972026416693,-0.0113392547342,6.31102095997e-17,7.25058116612e-19,2.73799399516e-15,0.00878088292744,-0.000552124137123,1.74059116589e-05,0.00964418460515,0.00307413979245,-0.0330915654627,0.00980036079135,0.00351290736552,-0.0332288964886,-0.0228646750697,0.000972803818344,-0.0101001979154,-2.34074714587e-16,1.98170398539e-18,1.53345767921e-15,0.00737608954973,-0.000552291927899,1.26857329181e-05
0.05,0.0101658122456,0.00198804915914,-0.0412415842116,0.00945662255282,0.00232185667271,-0.0412413082177,0.00933869910757,0.00176326472871,-0.0415248776878,0.00849973718991,0.0010114849849,-0.0420541304195,0.00830013968302,0.000451098204573,-0.0423168221027,-0.0334205039203,-0.000881952459322,-0.0146824086668,3.96121898677e-16,3.82687344116e-18,5.06001457926e-15,0.011060232162,-1.01420540601e-05,2.50188935079e-05,0.00988151906614,0.00101172519903,-0.0417541808006,0.010081078858,0.000451402394996,-0.0420091198892,-0.0313387764319,-0.000881415667905,-0.0134417925874,5.27359441294e-16,-3.60099893589e-19,6.40301987294e-15,0.0101204588615,-1.03514053412e-05,2.03690978994e-05,0.00849983376994,0.0038823437818,-0.0407282286393,0.00830020537269,0.00444263136188,-0.0406718962144,-0.0329436536045,0.00121460496722,-0.014115636169,-1.11718954011e-16,1.16074193056e-18,3.03253685186e-15,0.0109081166502,-0.000696968971452,3.36142665757e-05,0.00988161564617,0.00388258399594,-0.0404282790203,0.0100812817211,0.00444300598355,-0.0399670776213,-0.0283624509708,0.00121626908099,-0.0125621908839,-2.10096324499e-16,6.13757954409e-19,1.22732605592e-15,0.00914962385141,-0.000697334695428,2.41903547839e-05
0.06,0.0117053713288,0.00225500224137,-0.0493225746094,0.00934737784274,0.00275921265114,-0.0493218097548,0.00895518851793,0.00221311242373,-0.0502647786687,0.00775407227279,0.00147565334306,-0.0517529148031,0.00754918633761,0.000900797279933,-0.0526392277158,-0.0431163900698,-0.000682751977595,-0.0189288072145,-3.0098240004e-17,2.08047265092e-18,6.58166221257e-15,0.0142436352711,-8.30962624777e-05,5.22708861808e-05,0.00917137995439,0.00147602941898,-0.0512991051971,0.00937595032387,0.00090127197559,-0.0521339933192,-0.0405793458978,-0.00068182635015,-0.0175540089464,1.30362801284e-16,-1.46339209744e-18,6.38549821482e-15,0.0131466454744,-8.34394818571e-05,4.34762934167e-05,0.00775488061652,0.00442055369087,-0.0473439406713,0.00755031294959,0.00499525246309,-0.0467132043245,-0.0388276040204,0.00147070805167,-0.0166896243839,6.40640562423e-17,1.9909148735e-18,9.355867694e-16,0.0128439880736,-0.000789400274686,5.66099791947e-05,0.00917218829812,0.00442092976679,-0.0468901310652,0.00937707150338,0.00499584445999,-0.0457998202788,-0.0337422474618,0.00147334929283,-0.0149956167985,3.86702832775e-17,1.41461373351e-18,2.08983329882e-15,0.0109115685932,-0.000789967378866,4.10767156808e-05
0.07,0.0126531038625,0.00230920520736,-0.0567509717036,0.00887926512069,0.00315415843196,-0.0567503602402,0.00825176814429,0.00269757851785,-0.0582596169524,0.00679229429933,0.00207514690322,-0.0606588939108,0.0065981711114,0.0015302723815,-0.0620942796495,-0.0520714477392,-0.000301842065386,-0.0228703705536,3.19729798596e-16,1.62573857939e-18,6.11869132802e-15,0.0171806008372,-0.000192039479906,9.31021920359e-05,0.00813540675066,0.00207566029164,-0.0598976183423,0.00832935422949,0.00153091237548,-0.0612168765271,-0.048957790543,-0.000300343090231,-0.0213708985898,-1.09848134818e-16,-5.07732955873e-20,5.49256468087e-15,0.015906409718,-0.000192549855714,7.83298356062e-05,0.00679274443437,0.00486637149094,-0.05360264354,0.00659891434447,0.00541103325888,-0.0524773916139,-0.0444686506933,0.00174323222718,-0.0191834673367,-5.72140809725e-16,9.5759720002e-19,2.01057121629e-15,0.0146935683711,-0.000863782303852,8.7336816744e-05,0.0081358568857,0.00486688487937,-0.0528413679716,0.00832986271996,0.00541184546724,-0.0512121861044,-0.038957762593,0.00174686014429,-0.0173839218391,3.2912067518e-16,-7.88685229574e-19,1.78575852601e-15,0.0126327357997,-0.000864524581201,6.41616188438e-05
0.08,0.0130675029081,0.0024400008838,-0.0637072270303,0.00803559753806,0.00362398499104,-0.0637075901237,0.0071993281882,0.00325452221658,-0.0657201330841,0.00551261096333,0.00274391525164,-0.0689455965856,0.00532886942333,0.00222708879676,-0.070875902866,-0.0605151463523,0.000110279919952,-0.0266410213876,-3.40377404221e-16,1.69429998047e-18,7.9945023755e-15,0.0199575699463,-0.000312561551396,0.000149406427531,0.0067859870765,0.00274458969242,-0.0678782121186,0.00697024864482,0.00222791839334,-0.0696207659531,-0.0567905772293,0.000112535664184,-0.0250067137789,-2.04439794682e-16,-2.94004425103e-19,6.64039438129e-15,0.0184931802815,-0.000313270178085,0.00012648124359,0.00551127897208,0.00539136837032,-0.0595372404481,0.00532727635679,0.00590792001023,-0.0579792365091,-0.0500282452064,0.00205472584735,-0.0216667658006,7.82040072802e-17,3.39890469005e-19,1.64311161449e-15,0.0165207670847,-0.000952277067515,0.000126962930414,0.00678465508526,0.00539204281109,-0.058469855981,0.00696813784168,0.00590898877784,-0.0563552740433,-0.0440474038741,0.00205943398901,-0.0197508893328,4.44613464945e-16,7.84984053578e-19,2.31360417508e-15,0.014315370272,-0.00095318396607,9.42456280928e-05
0.09,0.0131986314585,0.00274982906655,-0.0699006316954,0.00705950608755,0.00417913754608,-0.0699028848301,0.0060399112645,0.00383413701105,-0.0723585099226,0.00410515059512,0.0033527947047,-0.0762875412804,0.00391686655249,0.00282105088691,-0.0786513401355,-0.0680182429422,0.000381755013749,-0.0300865834169,-2.09197206198e-16,3.2717899402e-18,5.10584263341e-15,0.0224436239307,-0.000410282942507,0.000220996111674,0.00541435510091,0.003353698896,-0.0749982143598,0.00560452772,0.00282215558659,-0.077115350526,-0.0637167289872,0.000384957167686,-0.0282724007006,-1.95544954267e-17,-7.03730115096e-19,5.64420090077e-15,0.0207794229228,-0.000411236662449,0.000187554185657,0.00410031304598,0.00607655755604,-0.0648092451506,0.00391056597328,0.00660793679338,-0.0628824573625,-0.0551516495436,0.002386867772,-0.0239888695806,3.36724250521e-16,-6.55834947903e-19,8.66393884445e-16,0.018219024134,-0.0010708461172,0.000175344298096,0.00540951755178,0.00607746174734,-0.06351991823,0.00559737645552,0.00660936938351,-0.0609661371231,-0.0485423008015,0.00239302943304,-0.0218882280021,8.26858079805e-17,-9.60788587165e-20,2.82888300662e-15,0.0157965274734,-0.00107197721963,0.000130584616672
