time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0.5,0,0.34,0.5,0,0.54,0.420000000007,-1.64082836207e-11,0.573250000016,0.312999999997,0.0899999999616,0.615000000038,0.239999999992,0.115999999947,0.615000000053,0.0728932358889,0.221999999912,0.36585078894,0.191807434299,0.273299999937,0.0904249124808,0.191807434367,0.273299999937,0.000424912627398,0.313000000034,-0.0900000000384,0.615000000038,0.240000000039,-0.116000000053,0.615000000053,0.0728932359799,-0.222000000088,0.36585078894,0.191807434411,-0.273370000063,0.0904249124808,0.191807434479,-0.273370000063,0.000424912627398,0.686999999997,0.0900000000384,0.614999999962,0.759999999992,0.116000000053,0.614999999947,0.592893235889,0.221970000019,0.365850788833,0.711807445212,0.273270000043,0.0904249171236,0.71180744528,0.273270000043,0.000424917270213,0.687000000034,-0.0899999999616,0.614999999962,0.760000000039,-0.115999999947,0.614999999947,0.59289323598,-0.221999999981,0.365850788833,0.711807434411,-0.273299999957,0.0904249123741,0.711807434479,-0.273299999957,0.000424912520744
0.01,0.499997751719,8.41606350571e-07,0.339970379276,0.500012099935,1.26423399929e-06,0.539970378761,0.420014485539,1.11574685322e-06,0.573226117979,0.313017234907,0.0900009113931,0.614983604024,0.240017163999,0.116000711784,0.614988812408,0.072893254353,0.221999979497,0.365850790282,0.191807433741,0.273300000315,0.0904249094833,0.191807473428,0.273299900865,0.000424909629971,0.313017727119,-0.0899990886059,0.614983984354,0.240017798403,-0.115999288214,0.614989250199,0.0728945957764,-0.222000020512,0.365851376932,0.191807433804,-0.273369999711,0.0904249092517,0.191806943441,-0.273370099166,0.000424909399666,0.687017233943,0.0900019340446,0.614956772782,0.760017162654,0.116002133653,0.614951436506,0.592858934257,0.221970726432,0.365836152102,0.71180744802,0.273270001317,0.0904249586874,0.711818703778,0.273269658095,0.000424959538481,0.687017726155,-0.0899980659543,0.614957153111,0.760017797068,-0.115997866346,0.614952015161,0.59286117851,-0.221999273579,0.365836847945,0.711807438395,-0.27329999872,0.0904249511996,0.711817869502,-0.273300341949,0.000424951951343
0.02,0.500006770741,3.89972223477e-06,0.339867246699,0.500049809381,6.25638993932e-06,0.539867242054,0.420056966422,5.52477689933e-06,0.573134456768,0.313064689172,0.0900045141566,0.614906421282,0.240064325731,0.116003489043,0.614921991072,0.0728602435473,0.221999805973,0.365836512374,0.191807434977,0.27330000045,0.0904249191052,0.191818451774,0.273299518274,0.000424919927407,0.313067217298,-0.0899954858132,0.614908541739,0.240067584134,-0.115996510921,0.614924390209,0.07286717859,-0.222000193956,0.365839578209,0.191807435236,-0.273369999598,0.0904249175121,0.191815714693,-0.273370481812,0.000424918040842,0.687064680475,0.0900097660939,0.614825938886,0.760064313562,0.116010791197,0.614809728436,0.592756465149,0.221973639664,0.365792460954,0.711807455575,0.273270002459,0.0904250067561,0.711852391462,0.273268267754,0.000425018137403,0.687067208602,-0.0899902338759,0.614828059343,0.76006757212,-0.115989208758,0.614812851529,0.592768024641,-0.221996360198,0.36579609455,0.71180744616,-0.273299997637,0.0904249941792,0.711848133472,-0.273301732392,0.000425003539481
0.03,0.500042604759,1.05004966228e-05,0.339677424948,0.500111049162,1.63002683512e-05,0.539677413152,0.420122432805,1.39183100189e-05,0.572954789066,0.313132961608,0.0900106533929,0.614738795902,0.240131878346,0.116007599988,0.614763501604,0.0727557454415,0.22199794985,0.365791061624,0.191807445807,0.273300000363,0.0904249739106,0.191853083174,0.273299044782,0.000424985633252,0.313140492277,-0.0899893463739,0.61474401312,0.240141584216,-0.11599239973,0.614769272022,0.0727736306711,-0.222002049532,0.365799550419,0.191807447236,-0.273369999774,0.0904249671485,0.191845835926,-0.273370955599,0.000424975487392,0.68713293938,0.0900262967394,0.614610804338,0.760131847072,0.116029350062,0.614584466694,0.592587788181,0.221979366601,0.365720601849,0.711807468022,0.273270004803,0.0904250727172,0.71190801141,0.273265317476,0.000425129146828,0.687140470049,-0.0899737030274,0.614616021555,0.76014155368,-0.115970649589,0.614592394535,0.592619420838,-0.221990632081,0.365730789782,0.711807458803,-0.273299995514,0.0904250491233,0.711896258006,-0.273304683186,0.000425093199262
0.04,0.500107837856,2.23541004904e-05,0.339397631802,0.500191073215,3.17911072716e-05,0.539397614259,0.420204918362,2.60534998635e-05,0.572680905848,0.313214081875,0.0900182505426,0.614471190354,0.240211713738,0.116011583242,0.614501216173,0.0725644365692,0.2219928703,0.365707411484,0.191807462109,0.27329999875,0.0904250665366,0.191916471683,0.273298778418,0.000425132708674,0.313230525055,-0.0899817485063,0.614479676818,0.240232906446,-0.115988415586,0.614510413381,0.0725976611565,-0.222007127371,0.365724446558,0.191807468775,-0.273370001682,0.0904250571296,0.191902552743,-0.273371222977,0.000425107512023,0.687214047925,0.0900524084759,0.614315538544,0.760211665554,0.116059075416,0.61428244515,0.592354034261,0.221987799648,0.365620904297,0.711807481948,0.273270008461,0.0904251578122,0.711985294874,0.273260636485,0.000425334099365,0.687230491106,-0.089947590573,0.614324025008,0.760232860224,-0.115940923133,0.614296355727,0.592417222435,-0.221982194443,0.365641654399,0.711807474754,-0.273299992406,0.0904251191537,0.711961558757,-0.273309365851,0.000425251687827
0.05,0.500199044493,3.97860016071e-05,0.339028684561,0.500282886886,5.25519860125e-05,0.53902866658,0.420296833744,4.18762742772e-05,0.57231220138,0.313299946403,0.0900274224378,0.614101315764,0.240295794217,0.116015743875,0.614131522249,0.07227877531,0.221985072772,0.3655821656,0.191807484808,0.273299997117,0.0904251992069,0.192011068333,0.27329865633,0.000425429620791,0.313328746845,-0.0899725748922,0.614112793078,0.240332913729,-0.115984252783,0.614143792758,0.0723309895223,-0.222014921088,0.365610392907,0.191807498467,-0.273370003665,0.0904251894287,0.191988636616,-0.273371347001,0.000425371869034,0.687299908753,0.0900872533526,0.613944526596,0.760295740137,0.116098930852,0.613909395593,0.592056373949,0.221998746962,0.365493644255,0.711807498188,0.273270012633,0.0904252608513,0.712083840752,0.273254383886,0.000425686607133,0.687328709194,-0.0899127439774,0.613956003909,0.760332863112,-0.115901065024,0.61392992781,0.592160957992,-0.221971235507,0.365528379382,0.711807493371,-0.27329998879,0.0904252066127,0.712044248787,-0.273315621695,0.000425519523793
0.06,0.500308932627,6.10649159094e-05,0.338575283992,0.500377424113,7.79855627252e-05,0.538575271548,0.420388817791,6.17383617928e-05,0.571852667702,0.313381679312,0.0900397745746,0.61363170328,0.240375490897,0.116022381345,0.613656166592,0.0718956261158,0.221977109751,0.365414085768,0.191807508933,0.273299995903,0.0904253737714,0.192137775743,0.2732982138,0.000425979916358,0.313424570107,-0.0899602196724,0.613646917174,0.240430771228,-0.115977611415,0.613672454913,0.0719709444642,-0.222022877047,0.36545543615,0.191807529273,-0.273370005169,0.0904253609141,0.192105148606,-0.273371792613,0.000425853175691,0.687381646764,0.0901288812829,0.61350361659,0.760375443534,0.116146272168,0.613471920474,0.591697091568,0.222012179294,0.365339568318,0.711807512289,0.273270016819,0.0904253800425,0.712202765565,0.273246935423,0.000426251070546,0.687424537558,-0.089871112964,0.613518830484,0.760430728082,-0.115853718878,0.6135005234,0.591850201415,-0.22195778193,0.365390600518,0.711807509388,-0.27329998511,0.0904253073518,0.712144641279,-0.273323075423,0.000425941895514
0.07,0.500431184895,8.39486049887e-05,0.338044278857,0.50046887996,0.00010757409051,0.53804427391,0.42047515217,8.62782528829e-05,0.571309354108,0.313454649718,0.0900574684405,0.613068897822,0.240446456802,0.116034450619,0.613081707907,0.0714188520984,0.221972091406,0.36520495403,0.191807535508,0.273299998483,0.0904255864067,0.19229520596,0.27329685917,0.000426907853751,0.313511406767,-0.0899425213566,0.613090150061,0.240519609534,-0.115965536559,0.613104861552,0.0715224284576,-0.222027883391,0.365260694035,0.191807555733,-0.273370002569,0.0904255582457,0.192250710004,-0.273373151469,0.000426649485717,0.687454624482,0.0901753886518,0.612998394047,0.760446420178,0.116198402275,0.612975524248,0.591280157383,0.222028250508,0.365160150119,0.711807524366,0.273270020257,0.0904255057265,0.712340620647,0.273238659963,0.00042709019322,0.687511381532,-0.0898246011454,0.613019646286,0.760519575985,-0.115801581746,0.613014990543,0.591486370945,-0.221941679381,0.365228680856,0.711807519858,-0.27329998179,0.0904254132134,0.712262476447,-0.273331357604,0.000426568755951
0.08,0.500560201794,0.000107679142322,0.337441407825,0.500553715922,0.000141448498222,0.537441404869,0.42055264372,0.000116013864553,0.570688815288,0.313516368522,0.090081527401,0.612420154421,0.240506283257,0.116053193367,0.612416083282,0.0708550491005,0.221971096811,0.364957285743,0.191807562714,0.273300002503,0.0904258250682,0.192481213612,0.273294349749,0.000428346569528,0.313586227312,-0.0899184564766,0.612450549105,0.24059632365,-0.115946786482,0.612449893146,0.0709928386473,-0.222028859335,0.365028690145,0.191807579504,-0.273369998536,0.0904257718674,0.192423010155,-0.273375666956,0.000427876410897,0.687516340158,0.09022668049,0.612432258416,0.760506244147,0.116255007892,0.612422860506,0.590807268869,0.222047231794,0.364955884828,0.711807537799,0.273270023588,0.0904256487731,0.71249684095,0.273229583032,0.00042829770466,0.687586198949,-0.0897733033876,0.612462653099,0.760596283888,-0.115744966752,0.612476771727,0.591070995929,-0.221922656478,0.365042992814,0.711807530148,-0.273299978552,0.0904255314413,0.712397340496,-0.273340442912,0.000427473351141
0.09,0.500691828701,0.000133567134793,0.336772721661,0.500629338091,0.000180435407576,0.536772706407,0.420618961393,0.000151444051803,0.569997716265,0.3135645585,0.090112018281,0.611693188508,0.240552616108,0.116078450707,0.611667591474,0.0702113584488,0.221973587134,0.364673510532,0.191807588201,0.27330000702,0.0904260938791,0.192693580713,0.273290736909,0.000430455623951,0.313647307532,-0.0898879577499,0.611735395807,0.240659272479,-0.115921519528,0.611715387549,0.0703893216314,-0.22202634192,0.364762131844,0.191807601716,-0.273369994117,0.0904260103623,0.192619720867,-0.273379288192,0.000429675160745,0.687564500723,0.0902839797697,0.611810005566,0.760552539502,0.116317537533,0.611818088776,0.590280850362,0.222069434472,0.364727560687,0.711807550366,0.273270027681,0.0904258100007,0.712670721164,0.27321947989,0.000429963681489,0.687647249755,-0.0897159962613,0.611852212864,0.760659188424,-0.115682424678,0.611889725398,0.590607529799,-0.221900399789,0.364834721073,0.711807539731,-0.273299974692,0.0904256627286,0.712548081806,-0.273350556492,0.000428723822211
