time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,1.09271034903e-20,2.24118766527e-30,-2.24118705869e-30,1.09222456638e-20,2.36847578587e-14,-9.26418445322e-31,1.09319613168e-20,-2.36847578587e-14,-3.55595404374e-30,1.09319613168e-20,-2.36847578587e-14,-3.55595404374e-30,1.09319613168e-20,-2.36847578587e-14,-3.55595404374e-30,1.96156690138e-17,4.02324325735e-27,-4.02324216847e-27,1.9615664156e-17,2.36847578587e-14,-4.021926693e-27,1.96156738716e-17,-2.36847578587e-14,-4.02455622935e-27,1.96156738716e-17,-2.36847578587e-14,-4.02455622935e-27,1.96156738716e-17,-2.36847578587e-14,-4.02455622935e-27,9.35716244892e-19,1.91918719184e-28,-1.91918667241e-28,9.35715516218e-19,3.5527136788e-15,-1.91721366694e-28,9.35716973566e-19,-3.5527136788e-15,-1.92115748999e-28,9.35716973566e-19,-3.5527136788e-15,-1.92115748999e-28,9.35716973566e-19,-3.5527136788e-15,-1.92115748999e-28,-4.73168313634e-19,-9.70484986305e-29,9.70484723644e-29,-4.73169042308e-19,3.5527136788e-15,9.72456917925e-29,-4.7316758496e-19,-3.5527136788e-15,9.68512372657e-29,-4.7316758496e-19,-3.5527136788e-15,9.68512372657e-29,-4.7316758496e-19,-3.5527136788e-15,9.68512372657e-29
0.01,-0.000487965783184,0.0133010485207,0.00057333127241,-0.000487965783184,0.0133010485207,0.00057333127241,-0.000487965783184,0.0133010485207,0.00057333127241,-0.000259083655037,0.0133010491466,0.000573314852111,-0.000259090536256,0.0158175478263,0.00057331207138,-0.00025904122557,-0.00221563487891,0.000573331998047,-0.00025904122557,-0.00221563487891,0.000573331998047,-0.00025904122557,-0.00221563487891,0.000573331998047,-0.000259081802235,0.0133010491466,0.000573314851978,-0.000259088210732,0.0156446709934,0.00057331226217,-0.000259042912087,-0.000921286696015,0.000573330568304,-0.000259042912087,-0.000921286696015,0.000573330568304,-0.000259042912087,-0.000921286696015,0.000573330568304,-0.000827509938659,0.0133010475923,0.000573355631746,-0.000827586692067,0.0413681861006,0.000573248585969,-0.000827404304196,-0.0253272970127,0.000573502957102,-0.000827404304196,-0.0253272970127,0.000573502957102,-0.000827404304196,-0.0253272970127,0.000573502957102,-0.000827505193075,0.0133010475923,0.000573355631405,-0.000827579401465,0.0404375255758,0.000573252133472,-0.000827404972431,-0.0233475748818,0.00057349540845,-0.000827404972431,-0.0233475748818,0.00057349540845,-0.000827404972431,-0.0233475748818,0.00057349540845
0.02,-0.00148959186188,0.0143790346042,0.00172337240722,-0.00148959186188,0.0143790346042,0.00172337240722,-0.00148959186188,0.0143790346042,0.00172337240722,-0.000619551891951,0.0143790468218,0.00172318518021,-0.00062004115997,0.0492178496892,0.00172299847096,-0.000619013433697,-0.0239623944116,0.00172339066092,-0.000619013433697,-0.0239623944116,0.00172339066092,-0.000619013433697,-0.0239623944116,0.00172339066092,-0.000619525124774,0.0143790468222,0.00172318517445,-0.000620009891679,0.0488973435449,0.00172300018348,-0.000619038779788,-0.0202516186635,0.00172337076763,-0.000619038779788,-0.0202516186635,0.00172337076763,-0.000619038779788,-0.0202516186635,0.00172337076763,-0.00232885528644,0.0143790228187,0.00172355301132,-0.00232974225999,0.0775233626514,0.00172233549295,-0.00232795719669,-0.0495566876883,0.00172478578852,-0.00232795719669,-0.0495566876883,0.00172478578852,-0.00232795719669,-0.0495566876883,0.00172478578852,-0.00232878532117,0.0143790228197,0.00172355299627,-0.00232963584989,0.0749288263136,0.00172238551087,-0.00232796824731,-0.0437891032919,0.00172467455957,-0.00232796824731,-0.0437891032919,0.00172467455957,-0.00232796824731,-0.0437891032919,0.00172467455957
0.03,-0.00193593761408,0.010462834564,0.00388937449271,-0.00193593761408,0.010462834564,0.00388937449271,-0.00193593761408,0.010462834564,0.00388937449271,-0.000421187473612,0.0104628979217,0.00388885610968,-0.000424394939781,0.0871400886861,0.00388804035776,-0.000418496792113,-0.0538601183423,0.00388954042823,-0.000418496792113,-0.0538601183423,0.00388954042823,-0.000418496792113,-0.0538601183423,0.00388954042823,-0.00042102272733,0.0104628979286,0.0038888560533,-0.00042429374127,0.0886592522987,0.00388802419038,-0.000418597641919,-0.0475108196078,0.0038894727852,-0.000418597641919,-0.0475108196078,0.0038894727852,-0.000418597641919,-0.0475108196078,0.0038894727852,-0.00428128595781,0.0104627364648,0.00389017712592,-0.0042854256142,0.10939114327,0.0038850201676,-0.00427775326886,-0.0739605240428,0.00389457795729,-0.00427775326886,-0.0739605240428,0.00389457795729,-0.00427775326886,-0.0739605240428,0.00389457795729,-0.00428090182175,0.0104627364809,0.00389017699446,-0.00428489054958,0.105784294028,0.00388520821055,-0.0042778287872,-0.062975826455,0.00389400509337,-0.0042778287872,-0.062975826455,0.00389400509337,-0.0042778287872,-0.062975826455,0.00389400509337
0.04,-0.00165739407035,0.00407306830331,0.00601078069361,-0.00165739407035,0.00407306830331,0.00601078069361,-0.00165739407035,0.00407306830331,0.00601078069361,-0.00018418555631,0.00407320285347,0.00601016757171,-0.000195366204445,0.126484050542,0.00600849422968,-0.000175848233552,-0.0872076186047,0.00601141536991,-0.000175848233552,-0.0872076186047,0.00601141536991,-0.000175848233552,-0.0872076186047,0.00601141536991,-0.000183627155316,0.00407320290447,0.00601016733931,-0.000195159699245,0.130336768606,0.00600844176422,-0.00017606268718,-0.0787460540915,0.0060112991848,-0.00017606268718,-0.0787460540915,0.0060112991848,-0.00017606268718,-0.0787460540915,0.0060112991848,-0.00615591192813,0.00407265744746,0.00601265289284,-0.00616814787548,0.137982095807,0.00599868429032,-0.00614662481453,-0.0975649297454,0.00602325509589,-0.00614662481453,-0.0975649297454,0.00602325509589,-0.00614662481453,-0.0975649297454,0.00602325509589,-0.00615475617426,0.00407265755302,0.00601265241184,-0.00616662144458,0.133925434433,0.00599910799098,-0.00614689531964,-0.0819560440926,0.00602162571967,-0.00614689531964,-0.0819560440926,0.00602162571967,-0.00614689531964,-0.0819560440926,0.00602162571967
0.05,-0.00166604874848,-0.00354565252329,0.00767653321156,-0.00166604874848,-0.00354565252329,0.00767653321156,-0.00166604874848,-0.00354565252329,0.00767653321156,-0.000149298240581,-0.00354540988189,0.00767589735712,-0.000176195905652,0.164585072961,0.00767333164282,-0.000130204968842,-0.122892609284,0.00767771862601,-0.000130204968842,-0.122892609284,0.00767771862601,-0.000130204968842,-0.122892609284,0.00767771862601,-0.000148038655202,-0.00354540968039,0.00767589682908,-0.000175791467882,0.169930389254,0.00767325155229,-0.00013061590611,-0.112450598976,0.00767755748936,-0.00013061590611,-0.112450598976,0.00767755748936,-0.00013061590611,-0.112450598976,0.00767755748936,-0.00778649887394,-0.00354663163922,0.0076790990359,-0.00781311676171,0.162765790453,0.00765013664804,-0.0077676685878,-0.121200989627,0.00769958789119,-0.0077676685878,-0.121200989627,0.00769958789119,-0.0077676685878,-0.121200989627,0.00769958789119,-0.0077840298067,-0.00354663124424,0.00767909800081,-0.00780988990176,0.158031002443,0.00765096409395,-0.00776832664451,-0.101662271666,0.00769618190176,-0.00776832664451,-0.101662271666,0.00769618190176,-0.00776832664451,-0.101662271666,0.00769618190176
0.06,-0.00251792244287,-0.0117889746401,0.00787496312529,-0.00251792244287,-0.0117889746401,0.00787496312529,-0.00251792244287,-0.0117889746401,0.00787496312529,-0.000986406676398,-0.0117886097553,0.00787443861573,-0.00103704246324,0.200736538725,0.00787004489563,-0.000951507824325,-0.158263744867,0.00787746682556,-0.000951507824325,-0.158263744867,0.00787746682556,-0.000951507824325,-0.158263744867,0.00787746682556,-0.000984456510135,-0.0117886092907,0.00787443794784,-0.00103601712858,0.204618189204,0.0078699698475,-0.000952461544979,-0.146075749079,0.00787721054287,-0.000952461544979,-0.146075749079,0.00787721054287,-0.000952461544979,-0.146075749079,0.00787721054287,-0.00883648125224,-0.0117904800417,0.007877127089,-0.00888304266656,0.183567478718,0.00782682144156,-0.00880527775977,-0.142711129325,0.0079108398083,-0.00880527775977,-0.142711129325,0.0079108398083,-0.00880527775977,-0.142711129325,0.0079108398083,-0.0088325123669,-0.0117904790961,0.00787712572975,-0.00887754162417,0.177139015737,0.00782848593255,-0.00880642621646,-0.121240279582,0.00790530352224,-0.00880642621646,-0.121240279582,0.00790530352224,-0.00880642621646,-0.121240279582,0.00790530352224
0.07,-0.0042219366985,-0.0188678331477,0.00745932565955,-0.0042219366985,-0.0188678331477,0.00745932565955,-0.0042219366985,-0.0188678331477,0.00745932565955,-0.00222883163151,-0.0188672047805,0.00745894992643,-0.00230839697906,0.233498962107,0.00744971677509,-0.00217459631787,-0.19089131622,0.00746524365699,-0.00217459631787,-0.19089131622,0.00746524365699,-0.00217459631787,-0.19089131622,0.00746524365699,-0.00222633707573,-0.018867203994,0.00745894945617,-0.00230616267459,0.23432443811,0.0074496986403,-0.00217656365122,-0.176739055433,0.0074647175906,-0.00217656365122,-0.176739055433,0.0074647175906,-0.00217656365122,-0.176739055433,0.0074647175906,-0.00968349461233,-0.0188695550158,0.00746035525315,-0.00975342988889,0.202910255193,0.00738266715835,-0.00963796510958,-0.163253405037,0.00751093202215,-0.00963796510958,-0.163253405037,0.00751093202215,-0.00963796510958,-0.163253405037,0.00751093202215,-0.00967791222223,-0.0188695532558,0.00746035420078,-0.00974503860168,0.194002652942,0.00738580831368,-0.00963960003251,-0.140365758133,0.00750290105334,-0.00963960003251,-0.140365758133,0.00750290105334,-0.00963960003251,-0.140365758133,0.00750290105334
0.08,-0.00592182964267,-0.0251638770226,0.00710226764562,-0.00592182964267,-0.0251638770226,0.00710226764562,-0.00592182964267,-0.0251638770226,0.00710226764562,-0.00359229009751,-0.0251629727595,0.00710234308477,-0.00370417360718,0.263070023597,0.00708341640159,-0.00351596000153,-0.221803678266,0.00711525540356,-0.00351596000153,-0.221803678266,0.00711525540356,-0.00351596000153,-0.221803678266,0.00711525540356,-0.00358922838119,-0.025162971571,0.00710234318392,-0.00370021993495,0.260772176502,0.00708358949638,-0.00351922164785,-0.205513502629,0.00711417187141,-0.00351922164785,-0.205513502629,0.00711417187141,-0.00351922164785,-0.205513502629,0.00711417187141,-0.0107109429646,-0.0251657360247,0.00710211255633,-0.0108063878615,0.220726229324,0.00699088653465,-0.0106494384493,-0.183618064665,0.00717378639941,-0.0106494384493,-0.183618064665,0.00717378639941,-0.0106494384493,-0.183618064665,0.00717378639941,-0.0107034328426,-0.0251657331095,0.00710211279953,-0.0107943992318,0.209188377329,0.00699614517476,-0.0106514584204,-0.159065952721,0.00716265830566,-0.0106514584204,-0.159065952721,0.00716265830566,-0.0106514584204,-0.159065952721,0.00716265830566
0.09,-0.00712528826872,-0.0307117068837,0.00732274494948,-0.00712528826872,-0.0307117068837,0.00732274494948,-0.00712528826872,-0.0307117068837,0.00732274494948,-0.00471618915486,-0.0307105982574,0.00732349774596,-0.00486291793596,0.288161464332,0.00728926544048,-0.00461553526223,-0.249452375511,0.00734698062896,-0.00461553526223,-0.249452375511,0.00734698062896,-0.00461553526223,-0.249452375511,0.00734698062896,-0.00471221257814,-0.0307105964275,0.00732349898856,-0.00485698863705,0.283917772043,0.0072897575323,-0.00462007770795,-0.230938756429,0.00734497190829,-0.00462007770795,-0.230938756429,0.00734497190829,-0.00462007770795,-0.230938756429,0.00734497190829,-0.0120754704708,-0.030713984873,0.00732119811412,-0.0121981608607,0.236000792993,0.0071701602272,-0.0119964472671,-0.202501329061,0.00741847955339,-0.0119964472671,-0.202501329061,0.00741847955339,-0.0119964472671,-0.202501329061,0.00741847955339,-0.0120653084322,-0.0307139801966,0.00732120128956,-0.0121816713194,0.222245491753,0.00717801752695,-0.0119987004327,-0.175512075078,0.00740316199213,-0.0119987004327,-0.175512075078,0.00740316199213,-0.0119987004327,-0.175512075078,0.00740316199213
