Link Name,Mass,CoM X,CoM Y,CoM Z,Inertia Ixx,Inertia Ixy,Inertia Ixz,Inertia Iyy,Inertia Iyz,Inertia Izz
L0_torso,6.889103,-0.001955,0.002743,-0.068608,0.035976,0.000077,-0.000148,0.081109,0.000272,0.103076
Lfl1_hipr,0.706316,0.04756,-0.010434,-4.6e-05,0.000403,0.000018,0.0,0.000535,-0.000001,0.000446
Lfl2_hipp,0.977146,-0.023554,0.050542,0.001956,0.000887,0.000644,0.000176,0.003756,-0.000057,0.003918
Lfl3_knee,0.240236,-0.010235,0.000248,-0.054204,0.000969,-0.000004,-0.001737,0.005316,-0.000004,0.004359
Lfl4_foot,0.030285,-0.000269,-0.0002,-5e-06,0.000008,0.0,0.0,0.000005,0.0,0.000008
Lfr1_hipr,0.706316,0.047555,0.010661,-4.6e-05,0.000403,-0.000018,0.0,0.000535,0.000001,0.000447
Lfr2_hipp,0.977146,-0.023592,-0.050542,0.001598,0.000882,-0.000645,0.000129,0.003756,0.000047,0.003923
Lfr3_knee,0.240236,-0.010245,-0.000248,-0.053503,0.000989,0.000004,-0.001772,0.005335,0.000004,0.004358
Lfr4_foot,0.030285,-0.000269,0.0002,-5e-06,0.000008,0.0,0.0,0.000005,0.0,0.000008
Lrl1_hipr,0.706316,-0.047555,-0.010434,-4.2e-05,0.000403,-0.000018,0.0,0.000535,-0.000001,0.000446
Lrl2_hipp,0.977146,-0.023554,0.050542,0.001956,0.000887,0.000644,0.000176,0.003756,-0.000057,0.003918
Lrl3_knee,0.240236,-0.010235,0.000248,-0.054204,0.000969,-0.000004,-0.001737,0.005316,-0.000004,0.004359
Lrl4_foot,0.030285,-0.000269,-0.0002,-5e-06,0.000008,0.0,0.0,0.000005,0.0,0.000008
Lrr1_hipr,0.706316,-0.047555,0.010661,4.6e-05,0.000403,0.000018,0.0,0.000535,-0.000001,0.000447
Lrr2_hipp,0.977146,-0.023592,-0.050542,0.001598,0.000882,-0.000645,0.000129,0.003756,0.000047,0.003923
Lrr3_knee,0.240236,-0.010245,-0.000248,-0.053503,0.000989,0.000004,-0.001772,0.005335,0.000004,0.004358
Lrr4_foot,0.030285,-0.000269,0.0002,-5e-06,0.000008,0.0,0.0,0.000005,0.0,0.000008
