Joint Name,Parent Link,Child Link,X,Y,Z,Roll,Pitch,Yaw,Joint Type,Axis X,Axis Y,Axis Z,Range Min,Range Max,Damping,Friction,Armature
J_F_base_L0_torso,F_base,L0_torso,0,0,0,0,0,0,Fixed,0,0,0,0,0,0,0,0
J_L0_torso_F_imu,L0_torso,F_imu,-5.3290705182007515e-18,0.00999999999999995,0.13699999999999982,2.240066227188478e-47,1.3292672953532228e-15,-1.685188701338831e-32,Fixed,0,0,0,0,0,0,0,0
Jfl1_hipr,L0_torso,Lfl1_hipr,0.24499999999999986,0.08500000000000002,0.09499999999999953,-5.089555117353652e-16,1.1464682003610934e-15,1.7760432917715992e-16,Revolute,1.0,2.771430217093039e-16,6.917208494746293e-16,-0.4363323129985824,0.6108652381980153,0.1,0.1,0
Jfl2_hipp,Lfl1_hipr,Lfl2_hipp,0.07800000000000024,0.07099999999999954,-2.220446049250313e-16,2.164959931938229e-16,2.0238846687584947e-15,7.919364777349737e-16,Revolute,1.358118865530937e-15,1.0,4.890402926265549e-16,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jfl3_knee,Lfl2_hipp,Lfl3_knee,-3.885780586188048e-16,0.020999999999999686,-0.24999999999999978,-7.690840162523055e-16,2.260768239281674e-13,6.866005906728128e-16,Revolute,-2.044719456203864e-15,-1.0,-2.226590173875489e-16,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jfl4_foot,Lfl3_knee,Lfl4_foot,0.03416585253503174,-0.010000000000000397,-0.31481091353960666,1.1879793102952704e-15,-2.277900090774665e-13,-1.7567015220548044e-15,Fixed,0,0,0,0,0,0,0,0
Jfr1_hipr,L0_torso,Lfr1_hipr,0.24499999999999902,-0.08499999999999948,0.09500000000000007,1.153974090159612e-31,5.080899612016292e-16,9.995142697912995e-17,Revolute,1.0,-9.995142697912995e-17,-1.74031065128076e-16,-0.4363323129985824,0.6108652381980153,0.1,0.1,0
Jfr2_hipp,Lfr1_hipr,Lfr2_hipp,0.07800000000000004,-0.0709999999999995,3.3306690738754696e-16,1.44295723404364e-15,-1.8890084162108887e-16,2.9147813226504685e-16,Revolute,2.7470425553091673e-16,-1.0,1.4429572340436422e-15,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jfr3_knee,Lfr2_hipp,Lfr3_knee,3.885780586188048e-16,-0.021000000000000074,-0.2499999999999997,-6.932124762420762e-14,-3.540223669773554e-14,-3.5419088244698956e-14,Revolute,-3.5804814802657345e-14,1.0000000000000002,6.926820635026868e-14,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jfr4_foot,Lfr3_knee,Lfr4_foot,0.034165852534959795,0.01000000000001075,-0.31481091353961416,3.4583778238433774e-14,-1.2073675392775038e-15,3.838675334917476e-16,Fixed,0,0,0,0,0,0,0,0
Jrl1_hipr,L0_torso,Lrl1_hipr,-0.24499999999999975,0.0849999999999999,0.09499999999999979,-5.55111512312578e-16,-5.080899612016294e-16,-6.772046902584791e-16,Revolute,-1.0,2.322900115144491e-16,-1.7403106512806673e-16,-0.4363323129985824,0.6108652381980153,0.1,0.1,0
Jrl2_hipp,Lrl1_hipr,Lrl2_hipp,-0.07799999999999999,0.07099999999999938,2.3592239273284576e-16,-3.1828392040101764e-16,3.9706765873913954e-16,6.717842183642819e-16,Revolute,1.0560183056831832e-16,1.0,3.182839204010178e-16,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jrl3_knee,Lrl2_hipp,Lrl3_knee,-1.3877787807814457e-15,0.02100000000000013,-0.2499999999999994,1.4076935998972939e-16,2.775557561560076e-17,2.2414238398759884e-15,Revolute,-2.2360033679817915e-15,-1.0,2.4480386981526805e-16,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jrl4_foot,Lrl3_knee,Lrl4_foot,0.034165852534960794,-0.010000000000000231,-0.31481091353961466,7.787657566142753e-16,-1.3877787807814467e-15,-1.5424240991960263e-15,Fixed,0,0,0,0,0,0,0,0
Jrr1_hipr,L0_torso,Lrr1_hipr,-0.24499999999999958,-0.08499999999999935,0.09499999999999946,-1.9447033874058733e-16,6.021330634235291e-16,1.4543608074960885e-15,Revolute,-1.0,2.363855509269017e-15,-3.747593879802964e-16,-0.4363323129985824,0.6108652381980153,0.1,0.1,0
Jrr2_hipp,Lrr1_hipr,Lrr2_hipp,-0.07800000000000004,-0.07100000000000038,3.3306690738754696e-16,-4.1305721041827004e-16,-8.373337576155345e-16,-2.6951689680739497e-16,Revolute,-2.966654909885684e-16,-1.0,-4.014701557884302e-16,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jrr3_knee,Lrr2_hipp,Lrr3_knee,-1.1102230246251565e-15,-0.020999999999999852,-0.2499999999999998,-3.336121181774619e-14,4.017341478857787e-16,-6.145287501831575e-16,Revolute,4.030255561515937e-17,1.0000000000000002,-3.409086389591941e-14,-2.6179938779914944,2.6179938779914944,0.1,0.1,0
Jrr4_foot,Lrr3_knee,Lrr4_foot,0.03416585253495974,0.010000000000010584,-0.3148109135396141,3.401487905079545e-14,1.2212453270876491e-15,1.2326410828027214e-16,Fixed,0,0,0,0,0,0,0,0
